feature,f_score,mi_score,importance
Q511,2900.700904723477,0.31743024693114585,0.06803159891740493
Q510,2589.582088896008,0.25292542322067213,0.09995043962688051
Q45_3,2011.1543879734381,0.29181791000247936,0.0505531797814399
Q45_1,1919.7226005702623,0.2911258689036782,0.03262181404510221
Q45_2,1915.9606402840934,0.2894312970575703,0.03764150320081307
Q43_14,1778.1731534924702,0.2650329124342612,0.024311548222163182
Q43_13,1661.6134440637554,0.2653473137391582,0.03145431540583846
Q44_5,1438.4609851830264,0.2520930500600842,0.02585384320045651
Q43_15,1433.4079468641671,0.24195604807831783,0.01625431736605664
Q45_4,1411.2708909188666,0.26587910294220674,0.012501694934586981
Q513,1362.6102712894779,0.1928061379297985,0.030835588522408464
Q44_6,1354.6263909057204,0.2630387316424725,0.022162649422374028
Q41_2,1352.8978287467473,0.2508355354278218,0.025848602582839962
Q44_3,1147.2919383430772,0.2540758898844975,0.01095648169007507
Q43_4,1110.089518916518,0.23939490315218404,0.01526633322378959
Q41_1,1068.322778432239,0.24726758707346197,0.014704240554308119
Q43_11,1048.0077032126026,0.23346398645562116,0.01157476261192625
Q43_9,896.8078569182231,0.24290754077646803,0.006610883605196532
Q43_2,884.8241810593792,0.2524275221808301,0.016496486207347512
Q44_4,872.676794045727,0.23763314942565117,0.019914354157352206
Q43_12,805.4922058539651,0.2211916911255596,0.012671262875544034
Q42_7,780.428649731576,0.23289435408854708,0.006356686296074191
Q43_5,772.5467398576213,0.2495457695665153,0.012726372401493546
Q43_3,770.8405730527654,0.22000832166707607,0.010269667216656883
Q210,627.978780292444,0.2102986622224745,0.0054966257062903446
Q98,599.5377645721852,0.24305104050179338,0.015028280440974456
Q42_1,549.7987048106278,0.2315229808016115,0.008048871173036118
Q43_7,517.3869032574781,0.20929756941855793,0.008616550455423526
Q112,490.2908344715897,0.26190863699896294,0.0046847528739025375
Q42_3,458.2013857674087,0.20738335762100069,0.00413620945430424
Q43_1,440.41215673577267,0.20781041514902032,0.008392771867587693
Q56_4,428.2940914991313,0.2706998206631335,0.0048347614487562265
Q44_2,416.26544442708206,0.1831426947996193,0.0032441560150995434
Q310_3,406.5558167331492,0.1469995751321107,0.0026675865401574344
Q310_1,378.7304604022678,0.14576814446090047,0.002328870962052491
Q41_5,371.2811655078043,0.19972436013433414,0.004512603256318271
Q132,364.0156198392781,0.29676094638789263,0.006961066845384859
Q42_2,351.89761119075246,0.19158717496603606,0.004310291431776343
Q111,344.5308701261131,0.22543783421721408,0.004778617365334801
