n_features,mean_score,std_score
1,0.7373632829886354,0.010605883542194477
2,0.802224266342245,0.022347938320037727
3,0.837842398346241,0.004565947827670074
4,0.8374461687585926,0.0050675187552492815
5,0.843017121153675,0.007112417509658948
6,0.8475918617647349,0.00537261947565482
7,0.8467956440461707,0.005102812426953365
8,0.8517699771520133,0.0053244468453696745
9,0.8579397248350691,0.006186579385622888
10,0.8593337487512734,0.008439430932639599
11,0.8619180439749563,0.00591617399521667
12,0.8603269932642947,0.008183264792834941
13,0.8603269932642948,0.010475544912024728
14,0.8597303739750553,0.0076889810278214735
15,0.8617206215443657,0.00982688813361552
16,0.8627154486019208,0.009766408985217226
17,0.8643070927667823,0.009408544472359927
18,0.8645058999238401,0.011696372148111572
19,0.8653019198243376,0.010254604219192333
20,0.8682864009970033,0.009841195283077607
21,0.8682873900873366,0.010786587467171403
22,0.8674913701868391,0.010373247951510373
23,0.8706752519707625,0.012742601367139984
24,0.8724657032926817,0.012341739565264877
25,0.8726645104497394,0.01044231588285316
26,0.8708744547639536,0.011048225988221456
27,0.8704758513595046,0.009559333255093132
28,0.8694808264838827,0.009665241958428028
29,0.8696800292770739,0.011350304485389038
30,0.8702768463843803,0.010881234529778044
31,0.8716692877560508,0.009982553068056588
32,0.8698792320702651,0.010854781642753181
33,0.8696808205493408,0.011198704494549275
34,0.8692832062352256,0.012475596579896983
35,0.8694818155742163,0.012959789999951576
36,0.8712718712600023,0.012085836758462217
37,0.8702776376566472,0.01360449607462858
38,0.8732623166473795,0.011119945941350766
39,0.8706750541526957,0.010738161116978371
40,0.8718686883673087,0.010984964983687201
41,0.8712714756238686,0.008492934501628448
42,0.8698798255244652,0.011824334792634617
43,0.8708744547639535,0.009610466294286718
44,0.8722665004994907,0.008034317440462247
45,0.8714706784170598,0.008849659305503799
46,0.8722670939536907,0.009698971161750001
47,0.8718698752757088,0.010931680341711585
48,0.8720686824327666,0.010588171424734711
49,0.8740577430936767,0.008550027470957646
50,0.8732623166473795,0.010151829789449333
51,0.8738593315727524,0.010548130405069562
52,0.8744563464981256,0.010280302764389512
53,0.8746543623829164,0.007504662414181779
54,0.8742567480688012,0.008170397267112883
55,0.8746547580190498,0.008393799424010383
56,0.8738585403004857,0.00884555889875783
57,0.8748533673580408,0.008073418206310105
58,0.8760473972087869,0.008957832112365453
59,0.8752507838540893,0.007152403490486597
60,0.8750521745150985,0.008032175413479056
61,0.8744553574077919,0.008620362805121977
62,0.8738581446643522,0.007495678853400848
63,0.8728633176067969,0.007881705574994737
64,0.8722663026814239,0.0073157819129519375
65,0.8746537689287163,0.006090183745874949
66,0.8746539667467831,0.006763517372802259
67,0.8742553633423341,0.007246480578872885
68,0.8748519826315737,0.006280281973347617
69,0.8738569577559518,0.006189169282698439
70,0.8738571555740187,0.006120407943766728
71,0.8744543683174584,0.006520811260248062
72,0.8752503882179559,0.007484851201373675
73,0.8740567540033432,0.007943677757314903
74,0.8762462043658449,0.00882698497383896
75,0.8756487938043381,0.008096353804518031
76,0.8744551595897253,0.00896160831858509
77,0.8744551595897254,0.008600810824326519
78,0.8750521745150983,0.008534194027498469
79,0.8750519766970317,0.008721208461689238
80,0.8752507838540895,0.00811233494973541
81,0.8760471993907204,0.008850003319815697
82,0.8760462103003868,0.006674724607358254
83,0.8752505860360227,0.006427550565453556
84,0.8756487938043381,0.0072170583817568945
85,0.8754493931930802,0.006173483635164977
86,0.8762452152755111,0.00621297271860281
87,0.8754491953750134,0.005949409372807167
88,0.8758472053252625,0.005640058558862392
89,0.8756482003501379,0.005834252222666421
90,0.8760462103003868,0.005886527291452067
91,0.8764442202506354,0.007014567492872927
92,0.8762450174574443,0.007697394876106573
93,0.8754495910111469,0.008421746040694539
94,0.8752507838540895,0.00823347601823867
95,0.875449591011147,0.008445225643829575
96,0.8746541645648497,0.009278016680452082
97,0.8746541645648497,0.009278016680452082
98,0.8752511794902229,0.009289058924891697
99,0.8756491894404717,0.009080914004434051
100,0.8750521745150983,0.009095779940722762
101,0.8754503822834139,0.009636873752773669
102,0.875450382283414,0.009595690497531329
103,0.8760470015726536,0.009008547716505123
104,0.8756491894404717,0.009253714798169796
105,0.875848194415596,0.009283039052836018
106,0.8756491894404717,0.009253714798169796
107,0.8754501844653472,0.0092842094180783
108,0.8762460065477778,0.00966540580118081
109,0.8760471993907203,0.009925728115565035
110,0.8758481944155958,0.009922284913012589
111,0.8762462043658447,0.009885198722863671
112,0.8760473972087871,0.010198261823854015
113,0.8758483922336626,0.009859197513550131
114,0.8760473972087871,0.010198261823854015
115,0.8760473972087871,0.010198261823854015
116,0.8760473972087871,0.010198261823854015
117,0.8758483922336626,0.010272312370507736
118,0.8758483922336626,0.010272312370507736
119,0.8758483922336626,0.010272312370507736
120,0.8756495850766051,0.010547644255048727
121,0.8754505801014807,0.010536897273323027
122,0.8756495850766051,0.010547644255048727
123,0.8754505801014807,0.010536897273323027
