mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_model__hidden_layer_1,param_model__hidden_layer_2,param_model__hidden_layer_3,param_model__learning_rate,param_model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
7.085274934768677,3.0963975392490357,0.14409103393554687,0.04899001591308111,32,150,0.47314719953913353,125,96,36,0.0005033414197773552,rmsprop,"OrderedDict({'batch_size': 32, 'epochs': 150, 'model__dropout_rate': 0.47314719953913353, 'model__hidden_layer_1': 125, 'model__hidden_layer_2': 96, 'model__hidden_layer_3': 36, 'model__learning_rate': 0.0005033414197773552, 'model__optimizer': 'rmsprop'})",-0.10103420843277644,-0.1050119331742243,-0.09315286624203822,-0.1146496815286624,-0.08280254777070062,-0.0993302474296804,0.010781419122432386,19,-0.061890547263681595,-0.06567164179104479,-0.06227616394747315,-0.0861520095503382,-0.0473537604456824,-0.06466882459964403,0.012456227153940933,20
10.182290029525756,1.5255771242177196,0.16919355392456054,0.008744673743918371,64,150,0.22136404395367001,247,115,19,0.00018906758484967925,adamw,"OrderedDict({'batch_size': 64, 'epochs': 150, 'model__dropout_rate': 0.22136404395367001, 'model__hidden_layer_1': 247, 'model__hidden_layer_2': 115, 'model__hidden_layer_3': 19, 'model__learning_rate': 0.00018906758484967925, 'model__optimizer': 'adamw'})",-0.08671439936356407,-0.10262529832935563,-0.07722929936305734,-0.10191082802547768,-0.07324840764331209,-0.08834564654495336,0.012182638205017925,3,-0.0461691542288557,-0.05671641791044779,-0.0423796259450856,-0.0732192598487863,-0.034023079984082716,-0.05050150758345162,0.013498105062904726,10
6.637558841705323,2.3361486348203178,0.11825432777404785,0.029032225639212553,32,150,0.14194366342108145,147,50,38,0.0002045955144916563,rmsprop,"OrderedDict({'batch_size': 32, 'epochs': 150, 'model__dropout_rate': 0.14194366342108145, 'model__hidden_layer_1': 147, 'model__hidden_layer_2': 50, 'model__hidden_layer_3': 38, 'model__learning_rate': 0.0002045955144916563, 'model__optimizer': 'rmsprop'})",-0.10262529832935563,-0.11058074781225136,-0.08996815286624205,-0.11783439490445857,-0.07802547770700641,-0.0998068143238628,0.014284544379053847,20,-0.0551243781094527,-0.05711442786069654,-0.05809789096697171,-0.0807799442896936,-0.041981695185037804,-0.05861966728237047,0.012511235232342991,18
2.4916433811187746,0.21154935434670638,0.09329166412353515,0.0029761400111723425,64,50,0.33921883100485123,218,82,21,0.0032478881572932782,rmsprop,"OrderedDict({'batch_size': 64, 'epochs': 50, 'model__dropout_rate': 0.33921883100485123, 'model__hidden_layer_1': 218, 'model__hidden_layer_2': 82, 'model__hidden_layer_3': 21, 'model__learning_rate': 0.0032478881572932782, 'model__optimizer': 'rmsprop'})",-0.08194112967382661,-0.10342084327764522,-0.09076433121019112,-0.09713375796178347,-0.09235668789808915,-0.09312335000430712,0.007117816121189813,11,-0.031442786069651785,-0.061890547263681595,-0.06585754078790296,-0.060087544767210455,-0.053322721846398746,-0.05452022814696911,0.012229911122508725,14
3.4067150592803954,0.17403728925235357,0.09202451705932617,0.0021574908814438864,64,100,0.31064809485107703,201,119,50,0.0007052711923416698,adamw,"OrderedDict({'batch_size': 64, 'epochs': 100, 'model__dropout_rate': 0.31064809485107703, 'model__hidden_layer_1': 201, 'model__hidden_layer_2': 119, 'model__hidden_layer_3': 50, 'model__learning_rate': 0.0007052711923416698, 'model__optimizer': 'adamw'})",-0.08989657915672233,-0.10342084327764522,-0.07882165605095537,-0.11066878980891715,-0.07722929936305734,-0.09200743353145949,0.013230463511189226,10,-0.04656716417910445,-0.04019900497512441,-0.04257859132510944,-0.07421408674890573,-0.036609629924393206,-0.04803369543052745,0.013484905720962198,6
3.241543102264404,0.17422033902065504,0.09220447540283203,0.0033968117859431222,64,150,0.1654428714554201,100,109,34,0.0008280356368997305,adamw,"OrderedDict({'batch_size': 64, 'epochs': 150, 'model__dropout_rate': 0.1654428714554201, 'model__hidden_layer_1': 100, 'model__hidden_layer_2': 109, 'model__hidden_layer_3': 34, 'model__learning_rate': 0.0008280356368997305, 'model__optimizer': 'adamw'})",-0.09705648369132858,-0.09785202863961817,-0.0883757961783439,-0.08917197452229297,-0.08280254777070062,-0.09105176616045685,0.00567528392947913,6,-0.035820895522388096,-0.041393034825870645,-0.04436927974532434,-0.04138479904496617,-0.035017906884202143,-0.03959718320455028,0.0035895314209440643,3
3.535377359390259,0.3835010580905492,0.11045441627502442,0.018893338642880605,32,150,0.2436091727685616,232,89,45,0.0019840609953878058,adamw,"OrderedDict({'batch_size': 32, 'epochs': 150, 'model__dropout_rate': 0.2436091727685616, 'model__hidden_layer_1': 232, 'model__hidden_layer_2': 89, 'model__hidden_layer_3': 45, 'model__learning_rate': 0.0019840609953878058, 'model__optimizer': 'adamw'})",-0.09626093874303898,-0.10103420843277644,-0.07563694267515919,-0.11624203821656054,-0.09554140127388533,-0.0969431058682841,0.013004373323965604,16,-0.04119402985074627,-0.0461691542288557,-0.038400318344608,-0.08157580580978907,-0.07461201750895341,-0.05639026514859049,0.018029856234315165,16
3.8629914283752442,0.23374848274135698,0.10083637237548829,0.002846110839123662,32,150,0.2985866814386867,225,63,18,0.001385337547742264,adam,"OrderedDict({'batch_size': 32, 'epochs': 150, 'model__dropout_rate': 0.2985866814386867, 'model__hidden_layer_1': 225, 'model__hidden_layer_2': 63, 'model__hidden_layer_3': 18, 'model__learning_rate': 0.001385337547742264, 'model__optimizer': 'adam'})",-0.09626093874303898,-0.09626093874303898,-0.07245222929936301,-0.09156050955414008,-0.0883757961783439,-0.088982082503585,0.008788804383141233,4,-0.04517412935323384,-0.040000000000000036,-0.028253083963390324,-0.04456824512534818,-0.050338241146040574,-0.04166673991760259,0.007464846075967781,4
13.314873361587525,1.290651413502074,0.0947336196899414,0.0029393779912773492,64,150,0.44866077138528604,144,69,26,0.00010002811886321582,adamw,"OrderedDict({'batch_size': 64, 'epochs': 150, 'model__dropout_rate': 0.44866077138528604, 'model__hidden_layer_1': 144, 'model__hidden_layer_2': 69, 'model__hidden_layer_3': 26, 'model__learning_rate': 0.00010002811886321582, 'model__optimizer': 'adamw'})",-0.1058074781225139,-0.1050119331742243,-0.10111464968152861,-0.11066878980891715,-0.09315286624203822,-0.10315114340584444,0.0058505813910104554,22,-0.0722388059701492,-0.061890547263681595,-0.06864305610823718,-0.07958615200955033,-0.06346995622761642,-0.06916570351584694,0.006382355387818055,24
8.082348251342774,1.5300406233198423,0.12089180946350098,0.002060011248646066,16,150,0.396513097747211,113,88,29,0.0004223559458393248,adam,"OrderedDict({'batch_size': 16, 'epochs': 150, 'model__dropout_rate': 0.396513097747211, 'model__hidden_layer_1': 113, 'model__hidden_layer_2': 88, 'model__hidden_layer_3': 29, 'model__learning_rate': 0.0004223559458393248, 'model__optimizer': 'adam'})",-0.08512330946698488,-0.10978520286396176,-0.08041401273885351,-0.10907643312101911,-0.08200636942675155,-0.09328106552351416,0.013274855857658897,12,-0.03482587064676612,-0.0662686567164179,-0.046358933545563086,-0.08654994031038599,-0.04795065658575404,-0.05639081156097743,0.018133208987896363,17
